País,Total,Aérea,Marítima,Região,Continente,Ano,viagens_country,indicators_country,CountryID,Country,Year,AMA exchange rate,IMF based exchange rate,Population,Currency,Per capita GNI,"Agric, hunt, forest, fish (ISIC A-B)",Changes in inventories,Construction (ISIC F),Exports of goods and services,Final consumption expenditure,General gov final consumption expenditure,Gross capital formation,Gross fixed capital formation,Household consumption,Imports of goods and services,Manufacturing (ISIC D),"Mining, Manufacturing, Utilities (ISIC C-E)",Other Activities (ISIC J-P),Total Value Added,"Transport, storage and comms (ISIC I)","Wholesale, retail, restaurants, hotels",GNI (USD),Gross Domestic Product (GDP),travels_per_capita,travels_per_1000_people
Holanda,9453,9054,399,Europa,Europa,2006,Holanda,Netherlands,528.0,Netherlands,2006,0.797140833,0.797140833,16325677.0,Euro,44597.0,14269749490.0,1259501406.0,35789158963.0,500000000000.0,516000000000.0,170000000000.0,154000000000.0,153000000000.0,346000000000.0,437000000000.0,87475132479.0,120000000000.0,324000000000.0,653000000000.0,64321131042.0,95416012854.0,728000000000.0,733000000000.0,0.0005790265236780074,0.5790265236780073
Hungria,1232,1223,9,Europa,Europa,2006,Hungria,Hungary,348.0,Hungary,2006,210.39,210.39,10057063.0,Forint,10794.0,4091254337.0,3055002614.0,5354831503.0,85375664243.0,87040329864.0,25447107752.0,30350225771.0,27295223157.0,61593222111.0,87050601264.0,22785697989.0,26110390228.0,41772037644.0,100000000000.0,10642483008.0,12512928371.0,109000000000.0,116000000000.0,0.00012250097269948492,0.12250097269948491
Inglaterra,50095,46158,3937,Europa,Europa,2006,Inglaterra,United Kingdom,826.0,United Kingdom,2006,0.543486667,0.543486667,60803700.0,Pound Sterling,44392.0,15492560382.0,13878905340.0,157000000000.0,743000000000.0,2270000000000.0,538000000000.0,495000000000.0,481000000000.0,1730000000000.0,796000000000.0,272000000000.0,387000000000.0,1300000000000.0,2440000000000.0,245000000000.0,337000000000.0,2700000000000.0,2710000000000.0,0.0008238807835707366,0.8238807835707367
Irlanda,2160,2106,54,Europa,Europa,2006,Irlanda,Ireland,372.0,Ireland,2006,0.797140833,0.797140833,4234806.0,Euro,48037.0,2136838221.0,2102879353.0,21784095449.0,183000000000.0,139000000000.0,37641870477.0,73984062206.0,71881182852.0,102000000000.0,165000000000.0,43084735550.0,47994662173.0,86391027934.0,204000000000.0,20271448061.0,25373438612.0,203000000000.0,232000000000.0,0.0005100587842748876,0.5100587842748876
Italia,42013,40954,1059,Europa,Europa,2006,Italia,Italy,380.0,Italy,2006,0.797140833,0.797140833,58429903.0,Euro,33468.0,37901458232.0,5467038969.0,104000000000.0,510000000000.0,1540000000000.0,380000000000.0,428000000000.0,422000000000.0,1160000000000.0,526000000000.0,304000000000.0,351000000000.0,821000000000.0,1750000000000.0,164000000000.0,266000000000.0,1960000000000.0,1950000000000.0,0.0007190325131979083,0.7190325131979083
Noruega,6300,5815,485,Europa,Europa,2006,Noruega,Norway,578.0,Norway,2006,6.413333333,6.413333333,4661087.0,Norwegian Krone,74198.0,4853482328.0,11147245322.0,15396361746.0,154000000000.0,203000000000.0,64413617464.0,83566995842.0,72419750520.0,139000000000.0,95764553015.0,28679469854.0,122000000000.0,109000000000.0,308000000000.0,29816008316.0,27298440748.0,346000000000.0,346000000000.0,0.0013516160500758728,1.351616050075873
Polonia,2019,1881,138,Europa,Europa,2006,Polonia,Poland,616.0,Poland,2006,3.103158333,3.103158333,38547179.0,Zloty,8750.0,9277322298.0,4329137787.0,23106136490.0,130000000000.0,278000000000.0,63880079167.0,74709368681.0,70380230894.0,214000000000.0,138000000000.0,56183726794.0,76018679893.0,103000000000.0,302000000000.0,31172112283.0,59773295487.0,337000000000.0,345000000000.0,5.23773737113162e-05,0.052377373711316205
Portugal,56606,56400,206,Europa,Europa,2006,Portugal,Portugal,620.0,Portugal,2006,0.797140833,0.797140833,10543947.0,Euro,19219.0,4699391680.0,639008791.0,12146075819.0,63316745159.0,177000000000.0,42383222120.0,47816308494.0,47177299703.0,135000000000.0,79652536095.0,25744332923.0,31961797633.0,84011304151.0,180000000000.0,14568326592.0,32709379459.0,203000000000.0,209000000000.0,0.005368577820051637,5.368577820051637
Suecia,5474,5302,172,Europa,Europa,2006,Suecia,Sweden,752.0,Sweden,2006,7.378249167,7.378249167,9104719.0,Swedish Krona,47675.0,5763426938.0,23718364.0,19817574156.0,201000000000.0,296000000000.0,104000000000.0,98393532612.0,98369814248.0,192000000000.0,172000000000.0,72565996066.0,87032300685.0,171000000000.0,375000000000.0,46426190315.0,44643518070.0,434000000000.0,423000000000.0,0.0006012266825587918,0.6012266825587917
Suica,12294,11812,482,Europa,Europa,2006,Suica,Switzerland,756.0,Switzerland,2006,1.253843333,1.253843333,7475010.0,Swiss Franc,63276.0,3326710669.0,26213004.0,21018446490.0,250000000000.0,287000000000.0,47323574184.0,120000000000.0,120000000000.0,240000000000.0,214000000000.0,85435304796.0,95003624982.0,196000000000.0,427000000000.0,35182021771.0,76439429531.0,473000000000.0,444000000000.0,0.00164468007400659,1.64468007400659
